arm,domain,trace,regime,concurrency,output_tok_s,speedup_vs_baseline,saturation_concurrency,saturation_output_tok_s,saturation_speedup_vs_baseline
baseline,conversational,sharegpt,2K,1,107.36116941902627,1.0,302,2250.540777123184,1.0
baseline,conversational,sharegpt,2K,5,451.6312722305965,1.0,302,2250.540777123184,1.0
baseline,conversational,sharegpt,2K,25,1329.1917838517056,1.0,302,2250.540777123184,1.0
baseline,conversational,sharegpt,2K,50,1720.0977422475303,1.0,302,2250.540777123184,1.0
baseline,conversational,sharegpt,2K,100,2043.318192532594,1.0,302,2250.540777123184,1.0
baseline,conversational,sharegpt,2K,200,2214.0261717094754,1.0,302,2250.540777123184,1.0
baseline,conversational,sharegpt,2K,302,2250.540777123184,1.0,302,2250.540777123184,1.0
baseline,code,swebench,2K,1,107.38126585113785,1.0,302,2251.9719310722394,1.0
baseline,code,swebench,2K,5,451.1621309271535,1.0,302,2251.9719310722394,1.0
baseline,code,swebench,2K,25,1328.948296427376,1.0,302,2251.9719310722394,1.0
baseline,code,swebench,2K,50,1721.6185754817427,1.0,302,2251.9719310722394,1.0
baseline,code,swebench,2K,100,2041.5733707519034,1.0,302,2251.9719310722394,1.0
baseline,code,swebench,2K,200,2215.9821599600077,1.0,302,2251.9719310722394,1.0
baseline,code,swebench,2K,302,2251.9719310722394,1.0,302,2251.9719310722394,1.0
baseline,summarization-short,cnn_short,2K,1,98.14357312772496,1.0,302,738.0582887926968,1.0
baseline,summarization-short,cnn_short,2K,5,323.1334443656956,1.0,302,738.0582887926968,1.0
baseline,summarization-short,cnn_short,2K,25,608.0016492531186,1.0,302,738.0582887926968,1.0
baseline,summarization-short,cnn_short,2K,50,676.1614440450259,1.0,302,738.0582887926968,1.0
baseline,summarization-short,cnn_short,2K,100,720.4431144564376,1.0,302,738.0582887926968,1.0
baseline,summarization-short,cnn_short,2K,200,736.5761116188694,1.0,302,738.0582887926968,1.0
baseline,summarization-short,cnn_short,2K,302,738.0582887926968,1.0,302,738.0582887926968,1.0
baseline,summarization-long,cnn_long,2K,1,107.36685390681902,1.0,302,2253.05417914428,1.0
baseline,summarization-long,cnn_long,2K,5,451.0085215321039,1.0,302,2253.05417914428,1.0
baseline,summarization-long,cnn_long,2K,25,1327.9255465696947,1.0,302,2253.05417914428,1.0
baseline,summarization-long,cnn_long,2K,50,1720.0938073973673,1.0,302,2253.05417914428,1.0
baseline,summarization-long,cnn_long,2K,100,2042.99128974009,1.0,302,2253.05417914428,1.0
baseline,summarization-long,cnn_long,2K,200,2215.711789251594,1.0,302,2253.05417914428,1.0
baseline,summarization-long,cnn_long,2K,302,2253.05417914428,1.0,302,2253.05417914428,1.0
baseline,structured-JSON,edgar_json,2K,1,0.0,,302,0.0,
baseline,structured-JSON,edgar_json,2K,5,0.0,,302,0.0,
baseline,structured-JSON,edgar_json,2K,25,0.0,,302,0.0,
baseline,structured-JSON,edgar_json,2K,50,0.0,,302,0.0,
baseline,structured-JSON,edgar_json,2K,100,0.0,,302,0.0,
baseline,structured-JSON,edgar_json,2K,200,0.0,,302,0.0,
baseline,structured-JSON,edgar_json,2K,302,0.0,,302,0.0,
n-gram,conversational,sharegpt,2K,1,135.779353677408,1.26469704467792,293,1969.5063459170365,
n-gram,conversational,sharegpt,2K,5,424.5223729584595,0.9399755930579237,293,1969.5063459170365,
n-gram,conversational,sharegpt,2K,25,1392.7610290927632,1.0478254876484776,293,1969.5063459170365,
n-gram,conversational,sharegpt,2K,50,1695.8247001322723,0.9858885681208196,293,1969.5063459170365,
n-gram,conversational,sharegpt,2K,100,1888.107132847579,0.9240397015735281,293,1969.5063459170365,
n-gram,conversational,sharegpt,2K,200,1954.7700184251685,0.8829028506541401,293,1969.5063459170365,
n-gram,conversational,sharegpt,2K,293,1969.5063459170365,,293,1969.5063459170365,
n-gram,code,swebench,2K,1,149.7802098970875,1.394844889468216,293,1962.6132070452413,
n-gram,code,swebench,2K,5,540.4109310575096,1.1978197947308804,293,1962.6132070452413,
n-gram,code,swebench,2K,25,1399.858537989897,1.0533581643116965,293,1962.6132070452413,
n-gram,code,swebench,2K,50,1700.7621736011758,0.9878855850084385,293,1962.6132070452413,
n-gram,code,swebench,2K,100,1886.937286688279,0.9242564160176754,293,1962.6132070452413,
n-gram,code,swebench,2K,200,1953.8824229751829,0.8817229932078717,293,1962.6132070452413,
n-gram,code,swebench,2K,293,1962.6132070452413,,293,1962.6132070452413,
n-gram,summarization-short,cnn_short,2K,1,114.35422264260289,1.1651728075335228,293,710.458293972969,
n-gram,summarization-short,cnn_short,2K,5,326.2587112977241,1.009671753223079,293,710.458293972969,
n-gram,summarization-short,cnn_short,2K,25,610.1920596726766,1.0036026389439054,293,710.458293972969,
n-gram,summarization-short,cnn_short,2K,50,676.8145284816367,1.0009658705659168,293,710.458293972969,
n-gram,summarization-short,cnn_short,2K,100,707.2183483913427,0.9816435665776712,293,710.458293972969,
n-gram,summarization-short,cnn_short,2K,200,710.3242123553684,0.9643595565354357,293,710.458293972969,
n-gram,summarization-short,cnn_short,2K,293,710.458293972969,,293,710.458293972969,
n-gram,summarization-long,cnn_long,2K,1,149.91951096055138,1.3963295514895382,293,1969.5349116152138,
n-gram,summarization-long,cnn_long,2K,5,541.2745337920152,1.2001425870031726,293,1969.5349116152138,
n-gram,summarization-long,cnn_long,2K,25,1338.6032660998376,1.0080409022612191,293,1969.5349116152138,
n-gram,summarization-long,cnn_long,2K,50,1702.7869691786932,0.9899384335062164,293,1969.5349116152138,
n-gram,summarization-long,cnn_long,2K,100,1883.7488790686025,0.9220542880083711,293,1969.5349116152138,
