arm,domain,regime,concurrency,output_tok_s,cost_per_1M_output_tokens_USD,h200_usd_per_hr
baseline,conversational,2K,1,107.36116941902627,11.565323602432946,4.47
baseline,conversational,2K,5,451.6312722305965,2.7492929365455656,4.47
baseline,conversational,2K,25,1329.1917838517056,0.9341516263880217,4.47
baseline,conversational,2K,50,1720.0977422475303,0.7218582038508279,4.47
baseline,conversational,2K,100,2043.318192532594,0.6076717131988537,4.47
baseline,conversational,2K,200,2214.0261717094754,0.56081842325647,4.47
baseline,conversational,2K,302,2250.540777123184,0.551719248674917,4.47
baseline,code,2K,1,107.38126585113785,11.563159149082702,4.47
baseline,code,2K,5,451.1621309271535,2.752151791009142,4.47
baseline,code,2K,25,1328.948296427376,0.9343227799039666,4.47
baseline,code,2K,50,1721.6185754817427,0.7212205330203433,4.47
baseline,code,2K,100,2041.5733707519034,0.6081910571792801,4.47
baseline,code,2K,200,2215.9821599600077,0.5603234038170575,4.47
baseline,code,2K,302,2251.9719310722394,0.5513686247747623,4.47
baseline,summarization-short,2K,1,98.14357312772496,12.651533127398471,4.47
baseline,summarization-short,2K,5,323.1334443656956,3.842581720700663,4.47
baseline,summarization-short,2K,25,608.0016492531186,2.0422093726093586,4.47
baseline,summarization-short,2K,50,676.1614440450259,1.836346448916989,4.47
baseline,summarization-short,2K,100,720.4431144564376,1.723476346364256,4.47
baseline,summarization-short,2K,200,736.5761116188694,1.685727580735267,4.47
baseline,summarization-short,2K,302,738.0582887926968,1.6823422831518684,4.47
baseline,summarization-long,2K,1,107.36685390681902,11.564711281791658,4.47
baseline,summarization-long,2K,5,451.0085215321039,2.7530891488450107,4.47
baseline,summarization-long,2K,25,1327.9255465696947,0.9350423823640923,4.47
baseline,summarization-long,2K,50,1720.0938073973673,0.7218598551583665,4.47
baseline,summarization-long,2K,100,2042.99128974009,0.6077689478669446,4.47
baseline,summarization-long,2K,200,2215.711789251594,0.5603917768953458,4.47
baseline,summarization-long,2K,302,2253.05417914428,0.5511037764472477,4.47
n-gram,conversational,2K,1,135.779353677408,9.144738379125636,4.47
n-gram,conversational,2K,5,424.5223729584595,2.924855663115231,4.47
n-gram,conversational,2K,25,1392.7610290927632,0.8915145101923777,4.47
n-gram,conversational,2K,50,1695.8247001322723,0.7321904596446898,4.47
n-gram,conversational,2K,100,1888.107132847579,0.6576251130379595,4.47
n-gram,conversational,2K,200,1954.7700184251685,0.6351983378929645,4.47
n-gram,conversational,2K,293,1969.5063459170365,0.6304456287946232,4.47
n-gram,code,2K,1,149.7802098970875,8.289924733847037,4.47
n-gram,code,2K,5,540.4109310575096,2.2976342544309682,4.47
n-gram,code,2K,25,1399.858537989897,0.886994387625493,4.47
n-gram,code,2K,50,1700.7621736011758,0.7300648414807902,4.47
n-gram,code,2K,100,1886.937286688279,0.6580328214542243,4.47
n-gram,code,2K,200,1953.8824229751829,0.6354868911589762,4.47
n-gram,code,2K,293,1962.6132070452413,0.6326598955970667,4.47
n-gram,summarization-short,2K,1,114.35422264260289,10.858074480968762,4.47
n-gram,summarization-short,2K,5,326.2587112977241,3.805773221281427,4.47
n-gram,summarization-short,2K,25,610.1920596726766,2.0348784402942415,4.47
n-gram,summarization-short,2K,50,676.8145284816367,1.8345744874186096,4.47
n-gram,summarization-short,2K,100,707.2183483913427,1.755704825095381,4.47
n-gram,summarization-short,2K,200,710.3242123553684,1.7480280765728322,4.47
n-gram,summarization-short,2K,293,710.458293972969,1.7476981790487882,4.47
n-gram,summarization-long,2K,1,149.91951096055138,8.282221965047558,4.47
n-gram,summarization-long,2K,5,541.2745337920152,2.293968382306671,4.47
n-gram,summarization-long,2K,25,1338.6032660998376,0.9275837719150305,4.47
n-gram,summarization-long,2K,50,1702.7869691786932,0.7291967164075497,4.47
n-gram,summarization-long,2K,100,1883.7488790686025,0.6591465988187312,4.47
n-gram,summarization-long,2K,200,1957.0068411326472,0.6344723179138368,4.47
n-gram,summarization-long,2K,293,1969.5349116152138,0.630436484950844,4.47
EAGLE3,conversational,2K,1,117.33679397076688,10.582074255207736,4.47
EAGLE3,conversational,2K,5,386.75113917616403,3.2105055186433233,4.47
EAGLE3,conversational,2K,25,989.980764919102,1.254233123173996,4.47
EAGLE3,conversational,2K,50,1167.8618500364237,1.0631965301614579,4.47
EAGLE3,conversational,2K,100,1172.1357909399228,1.0593198128273074,4.47
EAGLE3,conversational,2K,200,1198.736224577407,1.035813084821387,4.47
EAGLE3,conversational,2K,283,1204.5413546777424,1.0308211186313787,4.47
EAGLE3,code,2K,1,118.49858251010554,10.478325059802108,4.47
EAGLE3,code,2K,5,504.103879753893,2.46311666411466,4.47
EAGLE3,code,2K,25,999.6901578092813,1.2420515066264652,4.47
EAGLE3,code,2K,50,1152.6647906938,1.0772140145959483,4.47
